Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Source,EID,Reviewer,Reviewer Comments,Reviewer Decision
"Jones M.D., Jeannette Lawler M.",57211332837;13607054000;,Delivering sign language in a live planetarium show using head-mounted displays and infrared light,2019,ASSETS 2019 - 21st International ACM SIGACCESS Conference on Computers and Accessibility,,,,396,401,,1.0,10.1145/3308561.3353809,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074950762&doi=10.1145%2f3308561.3353809&partnerID=40&md5=b9dde67120253e73344a5e26305e9496,Sign language narration is difficult to view at live planetarium shows because the room is dark and the signer is not located near images projected onto the planetarium dome. We have designed and implemented a system using head-mounted displays (HMDs) and infrared light to support viewing real-time sign language narration of live planetarium shows. Results from a series of 3 studies involving 29 students who are deaf or hard-of-hearing suggest that viewing properly configured video of sign language narration in an HMD may increase learning in this setting. Participants expressed no single preference regarding signer position in the video feed but did indicate that the relative brightness of the HMD must be tuned to match the apparent brightness of images broadcast on the planetarium dome. We also identified other issues related to HMD fit and the appearance of the signer in the video. © 2019 Copyright is held by the owner/author(s). Publication rights licensed to ACM.,Head mounted display; Planetarium; Sign language,Audition; Domes; Luminance; Planetariums; Street traffic control; Hard of hearings; Head mounted displays; Infrared light; Real time; Relative brightness; Sign language; Helmet mounted displays,Conference Paper,Final,Scopus,2-s2.0-85074950762,Peter,,
"Kafle S., Yeung P., Huenerfauth M.",57200500342;57204729169;12240800100;,Evaluating the benefit of highlighting key words in captions for people who are deaf or hard of hearing,2019,ASSETS 2019 - 21st International ACM SIGACCESS Conference on Computers and Accessibility,,,,43,55,,11.0,10.1145/3308561.3353781,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074941386&doi=10.1145%2f3308561.3353781&partnerID=40&md5=2caa8a5ca2a8336c0d71c60606082bc1,"Recent research has investigated automatic methods for identifying how important each word in a text is for the overall message, in the context of people who are Deaf and Hard of Hearing (DHH) viewing video with captions. We examine whether DHH users report benefits from visual highlighting of important words in video captions. In formative interview and prototype studies, users indicated a preference for underlining of 5%-15% of words in a caption text to indicate that they are important, and they expressed an interest for such text markup in the context of educational lecture videos. In a subsequent user study, 30 DHH participants viewed lecture videos in two forms: with and without such visual markup. Users indicated that the videos with captions containing highlighted words were easier to read and follow, with lower perceived task-load ratings, compared to the videos without highlighting. This study motivates future research on caption highlighting in online educational videos, and it provides a foundation for how to evaluate the efficacy of such systems with users. © 2019 Association for Computing Machinery.",Caption Highlighting; Captioning System; Deaf and Hard of Hearing; Feedback; Text Highlighting; User Study,Feedback; Online systems; Caption Highlighting; Captioning System; Hard of hearings; Text Highlighting; User study; Audition,Conference Paper,Final,Scopus,2-s2.0-85074941386,Peter,,
"Jain D., Desjardins A., Findlater L., Froehlich J.E.",57014317900;39061273100;10040303000;7101665384;,Autoethnography of a hard of hearing traveler,2019,ASSETS 2019 - 21st International ACM SIGACCESS Conference on Computers and Accessibility,,,,236,248,,27.0,10.1145/3308561.3353800,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074938622&doi=10.1145%2f3308561.3353800&partnerID=40&md5=24188fda05645541d91e0594e7fabe10,"Travel experiences offer a diverse view into an individual's interactions with different cultures, societies, and places. In this paper, we present a 2.5-year autoethnographic travel account of a hard of hearing individual-Jain. Through retrospective journals and field notes, we reveal the tensions and nuances in his travel, including the magnified difficulty of social conversations, issues with navigating unfamiliar environments and cultural contexts, and changes in the relationship to personal assistive technologies. By exploring the longitudinal travel experiences of a single individual, we uncover evocative and personal insights rarely available through participant-based research methods. Based on these lived experiences and post hoc reflections, we present two design explorations of personalized technology the autoethnographer created for aiding his travel. Finally, we offer reflections for customized travel technologies for deaf and hard of hearing users, and methodological guidelines for performing first-person research in the context of disability. © 2019 Association for Computing Machinery.",Accessibility; Autobiographical design; Autoethnography; Deaf; Hard of hearing; Personalized technology; Travel,Accessibility; Autoethnography; Deaf; Hard of hearings; Travel; Audition,Conference Paper,Final,Scopus,2-s2.0-85074938622,Peter,,
"Butler J., Trager B., Behm B.",57202196333;56884439300;57211760102;,Exploration of automatic speech recognition for deaf and hard of hearing students in higher education classes,2019,ASSETS 2019 - 21st International ACM SIGACCESS Conference on Computers and Accessibility,,,,32,42,,3.0,10.1145/3308561.3353772,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074898684&doi=10.1145%2f3308561.3353772&partnerID=40&md5=ad82f47cb435930631b02121e8e4bf66,"Automatic speech recognition (ASR) programs that generate real-time speech-to-text captions can be provided as supplemental access technologies for deaf and hard of hearing (DHH) students in higher education classes. As part of a pilot program, we implemented ASR as a supplemental access service in biology, statistics, and other courses at our university. To identify the benefits and limitations of ASR as an access technology, we surveyed 26 DHH students and interviewed 8 of these students about their experiences with ASR in their mainstream classes. Participants believed that ASR was beneficial despite the errors that ASR continued to generate; however, the accuracy and readability of ASR need to improve so that students can better access spoken information through ASR. This paper reviews points for researchers to consider when designing and providing ASR as a supplemental access service in educational settings. © 2019 Association for Computing Machinery.",Human-centered computing-Accessibility design and evaluation methods; Human-centered computing-Accessibility technologies; Human-centered computing-Empirical studies in accessibility,Audition; Character recognition; Students; Access technology; Automatic speech recognition; Design and evaluation methods; Educational settings; Empirical studies; Hard of hearings; Higher education; Human-centered computing; Speech recognition,Conference Paper,Final,Scopus,2-s2.0-85074898684,Peter,,
"Carmo G.M.D., Paiva D.M.B., Cagnin M.I.",57212474351;19638910400;6601927082;,How to develop accessible web interfaces for deaf people?,2019,IHC 2019 - Proceedings of the 18th Brazilian Symposium on Human Factors in Computing Systems,,,3358437,,,,3.0,10.1145/3357155.3358437,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076772210&doi=10.1145%2f3357155.3358437&partnerID=40&md5=287653dae273f9ecefe370c23fea7c84,"There are several entity initiatives, such as World Wide Web Consortium (W3C), which develop usability and accessibility standards for the Web. In general, the available technologies comply with these standards, but do not attend particularities and challenges of each disability, such as hard of hearing. Despite the initiatives, there are still some obstacles on the part of developers, such as the lack of interest, motivation and necessary knowledge about how to properly develop accessible web application. This paper presents results of a systematic mapping to obtain how Web interfaces are being designed and implemented for deaf people. The results showed few studies about development of tools and technologies to help developers; lack of requirements and recommendations that complement those existing to improve Web accessibility for the hard of hearing; and little use of assistive technology resources that can directly contribute to improving Web accessibility for this audience. © 2019 ACM.",Accessibility; Hard of hearing; Systematic mapping; Web user interface,Audition; Human engineering; Mapping; Websites; Accessibility; Assistive technology; Hard of hearings; Systematic mapping; Tools and technologies; Web accessibility; Web user interface; World wide web consortiums; User interfaces,Conference Paper,Final,Scopus,2-s2.0-85076772210,Peter,,
Oswal S.K.,55481178500;,Breaking the exclusionary boundary between user experience and access: Steps toward making UX inclusive of users with disabilities,2019,SIGDOC 2019 - Proceedings of the 37th ACM International Conference on the Design of Communication,,,12,,,,20.0,10.1145/3328020.3353957,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074759841&doi=10.1145%2f3328020.3353957&partnerID=40&md5=9cb68fc88f01f2f81e9b6bc2c133cf77,"This research paper points out that we as Designers have failed to come up with a model of UX that would proximate a satisfying user experience for users with disabilities. It underscores the gaps in designer knowledge about disabled bodies. The research paper also draws the attention of the designer community to the limited understanding we presently possess of the disabled people’s notions of, and expectations from, satisfying user experiences. It proposes a multi-step process for shifting the focus of design activity from a “medical model of accessibility design” that retrofits normative designs to the needs of users with disabilities to developing an “accessible user experience model (AUX)” of design that counts these users as design collaborators, possessors of special knowledge about disabled bodies, and untapped sources of innovative designs that might offer additional design features for all users. © 2019 Copyright held by the owner/author(s). Publication rights licensed to",Accessible design; Accessible UX (AUX); Disabled co-designers; Haptic technology; Medical model of accessibility design; Participatory design; Retrofitting accessibility,Accessible UX (AUX); Disabled co-designers; Haptic technology; Medical modeling; Participatory design; Retrofitting,Conference Paper,Final,Scopus,2-s2.0-85074759841,Peter,,
"Bartolotti J., Marian V.",16315037800;6602268362;,Learning and processing of orthography-to-phonology mappings in a third language,2019,International Journal of Multilingualism,16,4,,377,397,,7.0,10.1080/14790718.2017.1423073,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041007194&doi=10.1080%2f14790718.2017.1423073&partnerID=40&md5=5a1615cd0b03b03be3f7ff558c80dc98,"Bilinguals’ two languages are both active in parallel, and controlling co-activation is one of bilinguals’ principle challenges. Trilingualism multiplies this challenge. To investigate how third language (L3) learners manage interference between languages, Spanish-English bilinguals were taught an artificial language that conflicted with English and Spanish letter-sound mappings. Interference from existing languages was higher for L3 words that were similar to L1 or L2 words, but this interference decreased over time. After mastering the L3, learners continued to experience competition from their other languages. Notably, spoken L3 words activated orthography in all three languages, causing participants to experience cross-linguistic orthographic competition in the absence of phonological overlap. Results indicate that L3 learners are able to control between-language interference from the L1 and L2. We conclude that while the transition from two languages to three presents additional challenges, bilinguals are able to successfully manage competition between languages in this new context. © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.",bilingualism; eye-tracking; language learning; Multilingualism,,Article,Final,Scopus,2-s2.0-85041007194,Peter,,
"Tapu R., Mocanu B., Zaharia T.",26424843800;24822846400;6601999900;,Dynamic subtitles: A multimodal video accessibility enhancement dedicated to deaf and hearing impaired users,2019,"Proceedings - 2019 International Conference on Computer Vision Workshop, ICCVW 2019",,,9022026,2558,2566,,6.0,10.1109/ICCVW.2019.00313,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082486712&doi=10.1109%2fICCVW.2019.00313&partnerID=40&md5=ed41ad985e140fdc1da865addd98418a,"In this paper, we introduce a novel dynamic subtitle positioning system designed to increase the accessibility of the deaf and hearing impaired people to video documents. Our framework places the subtitle in the near vicinity of the active speaker in order to allow the viewer to follow the visual content while regarding the textual information. The proposed system is based on a multimodal fusion of text, audio and visual information in order to detect and recognize the identity of the active speaker. The experimental evaluation, performed on a large dataset of more than 30 videos, validates the methodology with average accuracy and recognition rates superior to 92%. The subjective evaluation demonstrates the effectiveness of our approach outperforming both conventional (static) subtitling and other state of the art techniques in terms of enhancement of the overall viewing experience and eyestrain reduction. © 2019 IEEE.",Active speaker detection; Deaf and hearing impaired people; Dynamic subtitle positioning,Character recognition; Computer vision; Large dataset; Speech recognition; Audio and visual information; Deaf and hearing impaired; Experimental evaluation; Multi-modal fusion; Speaker detection; State-of-the-art techniques; Subjective evaluations; Textual information; Audition,Conference Paper,Final,Scopus,2-s2.0-85082486712,Peter,,
"Kim H.-S., Kim K.",56542018100;56019032600;,The Effects of Open Captions in a Medical Drama on the Acquisition of Medical Terminology about Chronic Health Conditions Related to Physical Injury,2019,American Journal of Health Education,50,5,,318,329,,2.0,10.1080/19325037.2019.1642267,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070861410&doi=10.1080%2f19325037.2019.1642267&partnerID=40&md5=c28845ecd449c2bf5b7d0458fcb97b7a,"Background: Despite previous efforts to improve health literacy through entertainment media, current practice seems to address only a few public health topics. Purpose: We examined the impact of supplementary open captions about medical terminology related to physical injuries that might lead to chronic health conditions on the acquisition and retention of relevant information presented in a medical drama. Methods: We conducted a two-group, between-subjects experiment (no open captions vs. open captions) with 150 adult participants to measure how open captions might help viewers retain medical information without disrupting their enjoyment of the storyline. Results: The open captions helped viewers retain the terms and their definitions without disrupting narrative transportation to the events in the episode. Discussion: As long as the open-captioned medical information was seamlessly woven into the storyline of the episode, it did not prevent the viewers from appreciating the dramatic content of the show. Translation to Health Education Practice: Health educators are encouraged to collaborate with media producers to implement open captions for health and medical information rather than simply monitoring the accuracy of health and medical topics featured in television shows. © 2019, © 2019 SHAPE America.",,,Article,Final,Scopus,2-s2.0-85070861410,Peter,,
Teng F.,57190169191;,Maximizing the potential of captions for primary school ESL students’ comprehension of English-language videos,2019,Computer Assisted Language Learning,32,7,,665,691,,20.0,10.1080/09588221.2018.1532912,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059957846&doi=10.1080%2f09588221.2018.1532912&partnerID=40&md5=d68709a8a5747e40a767c5619fd5b559,"This study investigated the effects of captioned videos on ESL primary school students’ comprehension of video content. A total of 182 primary school students watched two short English story videos in one of three conditions: fully captioned videos (N = 62), keyword captioned videos (N = 63), and uncaptioned videos (N = 57). Each group included learners with higher and lower levels of English proficiency. Two videos were selected, and the second video was watched twice. After each video, all participants took a comprehension test, including global comprehension and detailed questions. Findings revealed that fully captioned group achieved the best results on the global comprehension questions. Significant differences between the fully captioned and keyword captioned videos on the detailed comprehension questions were not detected. Learners with a higher level of English proficiency and those who watched the video for a second time achieved better comprehension scores. These findings suggest that full captioning videos, rather than keyword captioning videos, should be considered when using video-based comprehension activities for ESL primary school learners. However, learners’ English level and the frequency of video viewing should also be considered. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.",English proficiency level; frequency; Full captions; KEYWORD captions; video comprehension,,Article,Final,Scopus,2-s2.0-85059957846,Peter,,
"Tao J., Qin Z., Meng Z., Zhang L., Liu L., Yan G., Benson V.",57210986561;57210987435;57203951571;57210988494;57210987847;13607271700;24330546500;,Reading skill modulates the effect of parafoveal distractors on foveal lexical decision in deaf students,2019,PLoS ONE,14,9,e0221891,,,,,10.1371/journal.pone.0221891,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072145790&doi=10.1371%2fjournal.pone.0221891&partnerID=40&md5=40a1a71dc749eb21ad122aefaa597b6a,"In low-level perceptual tasks and reading tasks, deaf individuals show a redistribution of spatial visual attention toward the parafoveal and peripheral visual fields. In the present study, the experiment adopted the modified flanker paradigm and utilized a lexical decision task to investigate how these unique visual skills may influence foveal lexical access in deaf individuals. It was predicted that irrelevant linguistic stimuli presented in parafoveal vision, during a lexical decision task, would produce a larger interference effect for deaf college student readers if the stimuli acted as distractors during the task. The results showed there was a larger interference effect in deaf college student readers compared to the interference effect observed in participants with typical levels of hearing. Furthermore, deaf college student readers with low-skilled reading levels showed a larger interference effect than those with high-skilled reading levels. The current study demonstrates that the redistribution of spatial visual attention toward the parafoveal visual regions in deaf students impacts foveal lexical processing, and this effect is modulated by reading skill. The findings are discussed in relation to the potential effect that enhanced parafoveal attention may have on everyday reading for deaf individuals. © 2019 Tao et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,"adult; article; college student; controlled study; female; hearing impaired person; human; human experiment; literacy; male; retina fovea; vision; visual attention; adolescent; attention; case control study; deaf education; hearing impairment; language test; pathophysiology; psychology; reading; retina fovea; semantics; spatial orientation; student; young adult; Adolescent; Attention; Case-Control Studies; Deafness; Education of Hearing Disabled; Female; Fovea Centralis; Humans; Language Tests; Male; Persons With Hearing Impairments; Reading; Recognition, Psychology; Semantics; Spatial Navigation; Students; Young Adult",Article,Final,Scopus,2-s2.0-85072145790,Peter,,
"Martinez D., Singleton J.L.",57214037127;35962027700;,"The effect of bilingualism on lexical learning and memory across two language modalities: some evidence for a domain-specific, but not general, advantage",2019,Journal of Cognitive Psychology,31,5-6,,559,581,,1.0,10.1080/20445911.2019.1634080,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068036995&doi=10.1080%2f20445911.2019.1634080&partnerID=40&md5=bfa7061662386e3ed5cf5d3d21883da8,"The present study was conducted to replicate bilingual advantages in short-term memory for language-like material and word learning in young adults and extend this research to the sign domain, ultimately with the goal of investigating the domain specificity of bilingual advantages in cognition. Data from 112 monolingual hearing non-signers and 78 bilingual hearing non-signers were analysed for this study. Participants completed a battery of tasks assessing sign and word learning, short-term memory, working memory capacity, intelligence, and a language and demographic questionnaire. Overall, the results of this study suggested a bilingual advantage in memory for speech-like material–no other advantage (or disadvantage) was found. Results are discussed within the context of recent large-scale experimental and meta-analytic studies that have failed to find bilingual advantages in domain-general abilities such as attention control and working memory capacity in young adults. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.",Bilingual advantage; lexical learning; short-term memory; sign language; working memory capacity,adult; article; attention; bilingualism; female; hearing; human; human experiment; intelligence; learning; male; questionnaire; short term memory; sign language; speech; working memory; young adult,Article,Final,Scopus,2-s2.0-85068036995,Peter,,
"Suárez M.D.M., Gesa F.",57209227207;57209225977;,Learning vocabulary with the support of sustained exposure to captioned video: do proficiency and aptitude make a difference?,2019,Language Learning Journal,47,4,,497,517,,15.0,10.1080/09571736.2019.1617768,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066883365&doi=10.1080%2f09571736.2019.1617768&partnerID=40&md5=a5cbbfde047dbe78f206e6912b9071bc,"Video viewing can be a valuable resource to expose students to large quantities of input so they can improve their vocabulary and content comprehension. Most studies so far have used short clips and have not explored in much detail the effects of individual differences (IDs) such as aptitude, listening skills and vocabulary size. This paper aims to address this gap by exposing 57 Grade-10 EFL learners and 60 university students to captioned video. On a weekly basis over an academic term, all learners were pre-taught a set of target words (TWs); half of them (the experimental group) were additionally shown captioned episodes from a TV series containing the TWs. All learners were pre- and post-tested on the TW forms and meanings. Results revealed significant differences between experimental and control groups in the learning of TWs in the high school population, but not among university participants. A main effect for proficiency was observed on the learning scores for both TW forms and meanings. However, language aptitude was only a significant factor for TW meanings. Results are discussed regarding how video viewing and these IDs mediate vocabulary learning. © 2019, © 2019 Association for Language Learning.",Captioned video viewing; language aptitude; listening skills; vocabulary learning; vocabulary size,,Article,Final,Scopus,2-s2.0-85066883365,Peter,,
Vanderplank R.,24475848800;,"‘Gist watching can only take you so far’: attitudes, strategies and changes in behaviour in watching films with captions",2019,Language Learning Journal,47,4,,407,423,,9.0,10.1080/09571736.2019.1610033,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065320449&doi=10.1080%2f09571736.2019.1610033&partnerID=40&md5=5f1d1fcdeb62d485330abd2220b7fe1c,"Watching foreign language programmes and films with captions (same-language subtitles intended for the deaf and hard-of-hearing) has been shown to assist learners in phonetic retuning, vocabulary acquisition and listening comprehension [e.g. Mitterer and McQueen, 2009. Foreign subtitles help but native-language subtitles harm foreign speech perception. PLOS ONE 4, no. 1: e7785. doi:10.1371/journal.pone.0007785; Montero Perez, Van Den Noortgate and Desmet, 2013. captioned video for L2 listening and vocabulary learning: A meta-analysis. System 41, no. 3: 720–739; Rodgers and Webb, 2017. The effects of captions on EFL learners’ comprehension of English-language television programs. CALICO Journal 34, no. 1: 20–38]. However, relatively little is known about the outcomes and changes in viewing behaviour when learners watch with captions over an extended period if choice and control of viewing material are provided. This article reports qualitative findings of the EURECAP Project in which 36 learners of French, German, Italian and Spanish at intermediate level and above in a large UK university chose from a wide range of films on DVD with optional captions and watched them under their control in their own time. Their experiences as noted in viewing diaries revealed wide differences in viewing behaviour, attitudes to watching with captions and caption-guided viewing strategies over the period of the study. Participants fell into three broad strategic categories: Minimal users who were focused throughout on enjoying films as they would in their L1, evolving users who showed marked changes in their viewing behaviour over time, and maximal users who tended to be experienced at using films to enhance their language learning. We also compare participant behaviour with models of multimedia learning and suggest implications for future practice and research, especially in the light of global video streaming services with captions. © 2019, © 2019 Association for Language Learning.",audio-visual; captioned films; captions; multimedia; strategies; Subtitles; television,,Article,Final,Scopus,2-s2.0-85065320449,Peter,,
"Pulsiri N., Vatananan-Thesenvitz R., Tantipisitkul K., Aung T.H., Schaller A.-A., Schaller A.-M., Methananthakul K., Shannon R.",57204636695;57193733416;57211998922;57211998227;57213325405;57204637271;57211998630;21740377500;,Achieving sustainable development goals for people with disabilities through digital technologies,2019,"PICMET 2019 - Portland International Conference on Management of Engineering and Technology: Technology Management in the World of Intelligent Systems, Proceedings",,,8893725,,,,4.0,10.23919/PICMET.2019.8893725,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075638942&doi=10.23919%2fPICMET.2019.8893725&partnerID=40&md5=4bda2d4f6a062fbc3d059638825f9016,"The world is moving towards an aging society, which causes a rise in the population of people with disabilities. A lot of attention is given to the use of digital technologies that can facilitate activities and solve issues in the daily life of a disabled person. The Sustainable Development Goals (SDGs) initiative launched by the United Nations focuses on the development of a blueprint to achieve a better and more sustainable future for all. In this view, digital technologies are promising to support the development and to help achieve the SDGs. This paper outlines a systematic literature review with bibliometric analysis of scientific publications to provide a connection between digital technologies for persons with disabilities and the SDGs. The results show the clusters of digital technologies and their research collaboration networks. The review intends to provide a knowledge base and evaluation of applications for these technologies. It is the intention of this paper to facilitate the understanding of scientists and policy makers in how digital technologies can address the SDGs and which ones will be most relevant in 2030. © 2019 PICMET.",,Intelligent systems; Knowledge based systems; Planning; Sustainable development; Aging societies; Bibliometric analysis; Digital technologies; People with disabilities; Persons with disabilities; Research collaborations; Scientific publications; Systematic literature review; Disabled persons,Conference Paper,Final,Scopus,2-s2.0-85075638942,Peter,,
"Jiang J.-Y., Guo F., Chen J.-H., Tian X.-H., Lv W.",57193115996;55202044200;57209024290;57209024347;57204544133;,Applying eye-tracking technology to measure interactive experience toward the navigation interface of mobile games considering different visual attention mechanisms,2019,Applied Sciences (Switzerland),9,16,3242,,,,10.0,10.3390/app9163242,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070991243&doi=10.3390%2fapp9163242&partnerID=40&md5=207fb30d3b9de8fbe3acde7ff9c82155,"As an initial channel for users learning about a mobile game, the interactive experience of the navigation interface will directly affect the first impression of the users on the game and their subsequent behaviors and willingness to use. This study aims to investigate players' visual attention mechanisms of various interactive levels of mobile games' interfaces under free-browsing and task-oriented conditions. Eye-tracking glasses and a questionnaire were used to measure the interactive experience of mobile games. The results show that in the free-browsing condition, the fixation count, saccade count and average saccade amplitude can be used to reflect and predict the interactive experiences of mobile games' navigation interface; while in the task-oriented condition, the fixation count, first fixation duration, dwell time ratio and saccade count can be used to reflect and predict the interactive experience of mobile games' navigation interface. These findings suggest that apart from the different eye movement indicators, players' motivations should also be considered during the process of the games' navigation interface design. © 2019 by the authors.",Bottom-up; Eye tracking; Fixation count; Interactive experience; Mobile game; Navigation interface; Top-down,,Article,Final,Scopus,2-s2.0-85070991243,Peter,,
Lyrigkou C.,57200407916;,Not to be overlooked: agency in informal language contact,2019,Innovation in Language Learning and Teaching,13,3,,237,252,,11.0,10.1080/17501229.2018.1433182,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041237355&doi=10.1080%2f17501229.2018.1433182&partnerID=40&md5=766911450d497e04d6f413a3b6c005a2,"Easy and rapid access to the Internet, the affordances of Web 2.0 tools and technological advances, such as smartphone applications, have rendered informal contact with English an undisputed reality. This out-of-class contact without the primary or conscious objective of language learning has been the focus of recent research into the field of second language acquisition (e.g. Jarvis and Krashen 2014. “Is CALL Obsolete? Language Acquisition and Language Learning Revisited in a Digital age.” TESL-EJ 17 (4): 1–6; Sockett 2014. The Online Informal Learning of English. UK: Palgrave Macmillan). However, being in its infancy, the phenomenon is under-explored, while the learner, as a complex individual, is not examined in depth. Focusing on the skill of speaking, which is not sufficiently studied in research into informal learning, the present study investigated 76 Greek adolescent learners of English between the ages of 13 and 16, and used a speaking test, a questionnaire and a semi-structured interview to examine participants’: speaking performance, frequency of interaction with English through a range of media, and their agency and exerted effort during informal contact with the language. Findings showed that students’ lack of agency and their attitudes towards informal learning appeared to hinder their active engagement with informal sources, impeding further linguistic benefits. The present study underlines the importance of examining different individual and contextual factors before drawing conclusions regarding the effect of informal, out-of-class interaction with the target language. © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.",adolescents; informal language contact; informal learning; Learner agency; speaking,,Article,Final,Scopus,2-s2.0-85041237355,Peter,,
"Wang X., Li D.",57194544292;35215276400;,Processing of Phonological and Orthographic Information in Word Recognition in Discourse Reading,2019,SAGE Open,9,3,,,,,,10.1177/2158244019861502,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068828693&doi=10.1177%2f2158244019861502&partnerID=40&md5=8dd651c42c06c5e7ee21234aef1e2dd0,"To examine the processing of phonological and configurational information in word recognition in discourse reading, we conducted two experiments using the self-paced reading paradigm. The materials were three-sentence discourses, in each of which the last word of the second sentence and the third word from the end of the last sentence formed a prime–target pair. The discourse in which the target word (T) was semantically congruent or incongruent with the prime word was converted into a new version by replacing the T with its homophone or with the control word (con-T) in Experiment 1. Similarly, the Ts were replaced by words that were similar to them in configuration or by the con-Ts in Experiment 2. We adopted mixed-effects modeling to analyze the participants’ reading times to the targets, the first words after the targets, and the second words after the targets. It is concluded that the processing of phonological information begins earlier than that of configurational information in activating the semantic representations for the upcoming words that fit the context in discourse reading. © The Author(s) 2019.",Chinese words; discourse; orthography; phonology; recognition,,Article,Final,Scopus,2-s2.0-85068828693,Peter,,
"Li D., Wang S., Zhang F., Zhu L., Wang T., Wang X.",35215276400;57209284889;57209285708;57209281125;57211656066;57077301900;,DHH students' comprehension of irony in self-paced reading,2019,Journal of Deaf Studies and Deaf Education,24,3,,270,279,,3.0,10.1093/deafed/enz009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067170236&doi=10.1093%2fdeafed%2fenz009&partnerID=40&md5=f2783fc244e91b6f54dc1cbddbc20c75,"Irony comprehension can be a kind of challenge to those who are relatively less skillful in reading. To examine how DHH college students (DCSs) were different from hearing college students (HCSs) in the reading of ironic discourses, we conducted two experiments in the self-paced reading task. In Experiment 1, the statement was either literally congruent with the preceding context or had to be understood in an ironic way in each trial; In Experiment 2, the statement was the same but the context was not across the two levels of discourse type. The DCSs generally had a poorer performance than the hearing participants. Although able to comprehend ironies, they had a significantly lower efficiency than their hearing counterparts. The results were consistently in agreement with the prediction of the graded salience hypothesis (Giora, R. (1997). Understanding figurative and literal language: The graded salience hypothesis. Cognitive Linguistics, 7, 183-206. doi:10.1515/ cogl.1997.8.3.183) and the parallel-constraint-satisfaction framework (Pexman, P. M. (2008). It's fascinating research. Current Directions in Psychological Science, 17(4)286-290. doi:10.1111/j.1467-8721.2008.00591.x), and the DCSs' performance appears to indicate an amplified version of this support. It is implied that educational environments should be created in which deaf and DHH students are encouraged to do as much reading as possible. Exercises should be designed in helping them to improve vocabulary and syntactic skills in general and to improve skills of inference-making in particular. © The Author(s) 2019.",,adult; article; college student; comprehension; controlled study; exercise; female; hearing; human; human experiment; linguistics; male; prediction; reading test; satisfaction; skill; vocabulary; comprehension; emotion; hearing disorder; hearing impaired person; language; physiology; psychology; reading; student; young adult; Comprehension; Emotions; Female; Hearing Disorders; Humans; Language; Male; Persons With Hearing Impairments; Reading; Students; Young Adult,Article,Final,Scopus,2-s2.0-85067170236,Peter,,
"Minatani K., Yokota K.",24725081700;57209979199;,Launching Experiment-driven Research and maintaining Research Community for Assistive Technology: A look at Experiments in Presentations given to the Technical Committee on Well-being Information Technology,2019,ACM International Conference Proceeding Series,,,,172,175,,,10.1145/3316782.3321540,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069158853&doi=10.1145%2f3316782.3321540&partnerID=40&md5=0a3fc85ab843fd4b8a1458b0d1ba2aed,"The Technical Committee on Well-being Information Technology is a research group that has been steadily holding meetings on assistive technology in Japan for twenty years. This study looked at the way experiments presented to the committee were conducted between 2013 and 2015 in order to collect basic data that would contribute to alleviating the difficulty of conducting experiments having persons with disabilities as participants. A total of 330 presentations were given during the study period. The median number of participants in experiments having persons with disabilities as participants in was four, and the mode was one. The median number of participants in experiments having able-bodied persons as participants in was six, and the mode was six. © 2019 Association for Computing Machinery.",Assistive technology; Experiment; Persons with disabilities; Well-being information technology,Computer programming; Experiments; Assistive technology; Persons with disabilities; Research communities; Research groups; Technical committees; Well being; Computer applications,Conference Paper,Final,Scopus,2-s2.0-85069158853,Peter,,
